"Name","Latitude","Longitude","Elevation","X","Y","Z"
"RIO100ESP","42.4642","-2.4261","450.3728","4708447.1820","-199490.8320","4284089.3180"
"CAKO00HRV","46.3871","16.4391","222.0939","4227250.7781","1247280.6213","4595193.3193"
"PUYV00FRA","45.0436","3.8789","710.3443","4504322.3410","305404.9600","4491277.1450"
"BUCU00ROU","44.4639","26.1257","143.2139","4093761.2060","2007793.5760","4445129.7640"
"CAG100ITA","39.2280","9.1101","134.9950","4885053.7742","783346.3262","4012043.3413"
"COBA00ESP","37.9156","-4.7211","202.0727","5021256.0530","-414685.1010","3898182.1690"
"MNSK00BLR","53.9161","27.5659","257.5805","3337519.5888","1742282.5859","5131459.3728"
"IGM200ITA","43.7958","11.2139","94.9163","4523237.4939","896768.2913","4391808.5271"
"BRMF00FRA","45.7261","4.9384","256.8625","4443792.8270","383966.8360","4544229.0710"
"OST600SWE","63.4428","14.8580","489.8340","2763889.5487","733243.4889","5682651.6763"
"ONS100SWE","57.3953","11.9245","44.4242","3370667.1984","711818.7219","5349787.8726"
"SKE000SWE","64.8792","21.0483","81.2031","2534031.1920","975174.3964","5752078.3398"
"ONSA00SWE","57.3953","11.9255","45.5380","3370658.8291","711876.9374","5349786.7382"
"MAN200FRA","48.0186","0.1553","167.9384","4274276.1500","11584.0850","4718385.7860"
"BZR200ITA","46.4958","11.3382","331.2100","4312893.0489","864794.5284","4603598.2760"
"TOPP00ITA","40.8178","15.4643","1292.4425","4659783.0625","1289147.5580","4147976.1501"
"STAS00NOR","59.0177","5.5986","104.8928","3275753.9094","321110.8626","5445041.8817"
"JATE00ITA","41.7911","16.0501","862.8320","4577468.4912","1316900.7283","4228910.3594"
"PULK00RUS","59.7718","30.3278","101.1720","2778606.6442","1625494.7822","5487811.0333"
"MOGI00BLR","53.9186","30.3260","212.0935","3249529.4121","1900851.5987","5131587.6973"
"KAD600SWE","59.4440","13.5056","114.0301","3160760.4426","759158.9177","5469347.0514"
"M0SE00ITA","41.8931","12.4933","120.5912","4642432.7600","1028629.1744","4236854.0159"
